asli,translate
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinuses and diaphragms are normal.
The heart is of normal size and configuration.
There is no evidence of pulmonary disease.
"
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.",Normal chest X-Ray
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinuses and diaphragms are normal.
The heart is of normal size and configuration.
There is no evidence of pulmonary disease."
"Within normal limit findings
Within normal limit ECG","Within normal limit findings
Within normal limit ECG
"
"Vesica Urinaria : Besar dan dinding normal, tak tampak batu/SOL.
Prostat : Ukuran 2,8 x 3,3 x 2,9 cm dengan volume 13,9 ml.","Vesica Urinaria : No thickening of bladder wall. There was no SOL or calcification.
Prostat : Size 2,8 x 3,3 x 2,9 cm with volume 13,9 ml."
Vesica urinaria dan prostat normal.,Prostat and vesica urinaria are normal.
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.",Normal chest
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tampak infiltrat di apex kanan. Paru kiri baik.
","Sinusses, diaphragms are normal limits.
Heart : Size and shape is normal.
Lungs : There is infiltrat in the right lung. Left lung is normal.
"
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tampak infiltrat di apex kanan. Paru kiri baik.
",In the right lung tuberculosis.
Sinus bradikardia,Sinus bradycardia
Sinus bradikardia,Sinus bradycardia
ADS : Dalam batas normal,ADS : Within normal limit
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
","Both sinuses and diaphragms are normal.
The heart is of normal size and configuration.
There is no evidence of pulmonary disease."
Slow progression of R at leads of V1-V3,Slow progression of R at leads of V1-V3
Clock Wise Rotation,Clock Wise Rotation
"If there is complaint, consult to Cardiologist","If there is complaint, consult to Cardiologist"
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
","Sinusses, diaphragms are normal limits.
Heart : Size and shape is normal.
Lungs : No evidence pulmonary disease.
"
ADS : Frekuensi jarak pembicaraan dalam batas normal terdapat penurunan pada frekuensi tinggi,ADS : Speaking frequency within normal limits. There is a decrease at the higher frequency. 
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak kelainan parenkim paru.","Both sinuses and diaphragms are normal.
The heart is of normal size and configuration.
No widening of the mediastinum.
No abnormality is seen in both lung fields."
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak kelainan parenkim paru.",Normal heart shadow and both lung fields are clear.
"Sinus kanan agak tumpul (post pleuritis?), diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak kelainan parenkim paru.","Slighly blunt right sinuses (Previous Pleuritis?),both diaphragms are normal.
The hearth is of normal size and configuration.
No widening of the mediastinum.
No pathological lesion seen in both lung fields."
"Sinus kanan agak tumpul (post pleuritis?), diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak kelainan parenkim paru.",Normal both lung fields and hearth shadow.
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinuses and diaphragms are normal.
The heart is of normal size and configuration.
No widening of the mediastinum.
No abnormality is seen in both lung fields."
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.",Normal heart shadow and both lung fields are clear.
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.",Heart and lungs are normal.
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
",Heart and lungs are normal.
"Cor : Aorta dengan kalsifikasi
Sinus dan Diafragma : Baik
Pulmo : Tampak bercak-bercak infiltrat di paracardial kanan. Paru kiri baik.
","Heart with aortic calcification.
Sinuses and diaphragms within normal limits.
There spotted infiltrate on the right paracardial.
Lung left is good."
"Cor : Aorta dengan kalsifikasi
Sinus dan Diafragma : Baik
Pulmo : Tampak bercak-bercak infiltrat di paracardial kanan. Paru kiri baik.
",ASHD with bronchopneumonia dextra.
"Tidak membesar, struktur parenchim normal tidak tampak massa/SOL.","The size was normal limits
The parenchim was normal limits
"
USG Abdomen dan Pelvis dalam batas normal.,No pathologic findings of abdominal organ in sonographic examination.
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
","Sinusses, diaphragms are normal limits. 
Heart : Size and shape is normal. 
Lungs : No evidence pulmonary disease.
"
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. 
",Heart and lung is normal.
Sinus Arrhythmia,Sinus Arrhythmia
IRBBB pattern at lead of V1,IRBBB pattern at lead of V1
Sinus Arrhythmia,Sinus Arrhythmia
89 % kelelahan umum,General Fatique at 89% MPR
09 menit 54 detik,09 Minute 54 Second
Dalam batas normal,Within normal limit
 Perubahan ST-T tak bermakna,Non specific ST - T changes
IRBBB pattern at leads of V1-V2,IRBBB pattern at leads of V1-V2
"Within normal limit findings
Within normal limit ECG
","Within normal limit findings
Within normal limit ECG"
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tampak fibrosis di apex paru kanan, corakan vaskuler paru baik.","Both sinues and diaphragms are normal.
The heart is of normal size and configuration.
No widening of the mediastinum.
There is fibrotic lesion at the right apical lung seen, normal pulmonary vascular pattern noted."
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tampak fibrosis di apex paru kanan, corakan vaskuler paru baik.",Non active old TB lesion.
"Tidak membesar, permukaan licin. Echostruktur homogen, difus meninggi. Tak tampak lesi fokal/ SOL maupun ascites. Traktus billiaris intra dan ekstra hepatic tidak melebar.","No enlargement of the liver with increase diffuse and normal echostructure, no an/ hypo/ hiper echogenic lesion is noted. Normal biliary tract and portal vein"
"Cortex dan parenchim normal, pyelocalyces normal. Tidak tampak batu/ SOL.Tidak tampak pembesaran kelenjar getah bening para aortal.","The both of kidney was normal limits
No dilated pelvio-calyces sytems.
There was no stone or SOL"
"Tidak membesar dengan ukuran 3,7 x 3,3 x 2,8 cm, volume 14 ml.","No enlargement prostate with size 3,7 x 3,3 x 2,8 cm, volume 14 ml."
"Besar dan dinding normal, tak tampak batu/SOL.","No thickening of. bladder wall.
There was no SOL or calcification "
"Low voltage at limb leads ; Slow progression of R at leads of V1-V2","Low voltage at limb leads ; Slow progression of R at leads of V1-V2"
Sinus aritmia,Sinus arrhythmia
Sinus aritmia,Sinus arrhythmia
Olahraga teratur,Regular exercise
"97% MPR, kelelahan umum",Fatique at 97% MPR
10 Menit 57 Detik,10 Minute 57 Second
Perubahan ST-T tak bermakna,No significant ST-T changes
"Fatty Liver.
USG Abdomen lain dalam batas normal.",No pathologic findings of other abdominal organ in sonographic examination.
"Fatty Liver.
USG Abdomen lain dalam batas normal.","Fatty liver. 
No pathologic findings of other abdominal organ in sonographic examination.
"
08 Menit 8 Detik,08 Minute 08 Second
Perubahan ST-T tak bermakna,No signiificant ST-T changes 
"Cortex dan parenchim normal, pyelocalyces normal. Tidak tampak batu/ SOL.Tidak tampak pembesaran kelenjar getah bening para aortal.","The both of kidney was normal limits
No dilated pelvio-calyces sytems.
There was no stone or SO"
"Besar dan dinding normal, tak tampak batu/SOL.","No thickening of. bladder wall.
There was no SOL or calcification."
"Tidak membesar, permukaan licin. Echostruktur homogen, difus meninggi. Tak tampak lesi fokal/ SOL maupun ascites. Traktus billiaris intra dan ekstra hepatic tidak melebar.","No enlargement of the liver with increase diffuse and normal echostructure, no an/ hypo/ hiper echogenic lesion is noted. Normal biliary tract and portal vein."
"Fatty Liver.
USG Abdomen lain dalam batas normal.",Fatty liver. No pathologic findings of other abdominal organ in sonographic examination.
"Tidak membesar, pinggir rata, echostruktur baik, tidak tampak lesi an/hipo/hiper-echoik patologis, tidak tampak tanda pelebaran ductuli biliaris dan v.portal, ascites (-).","Normal size, no pathological lession noted, no delated of billiary duct and portal vein."
"Bentuk normal, dinding tidak menebal, batu (-). Tidak tampak pelebaran CBD.","No thickening gall bladder wall, no stone seen."
"Echostruktur dan echodensitas baik, tidak tampak kalsifikasi patologis, ductus Pancreaticus tidak melebar.","Normal echostructure and normal echodensity, no widening of parenchim duct."
"Tidak membesar, v.lienalis tidak melebar.","No enlargment spleen noted, no dilated splenic vein."
"Bentuk besar kedua ginjal dalam batas normal, tidak tampak pelebaran sistem pelvio-calyces kanan kiri, batu (-).","Normal size and shape both kidneys, no widening of both pelviocalyceal systems, no stone noted."
"Bentuk besar dalam batas normal, tidak tampak kelainan intra-uterine. Antefleksi.","The parenchim was normal limits
There was no SOL"
Tidak tampak kelainan USG organ abdomen.,No pathologic findings of abdominal organ in sonographic examination.
"Terisi baik, dinding tidak menebal, batu/massa (-).","No thickening bladder wall, neither stain, no mass seen."
"87% MPR, lelah kaki","87% MPR, leg fatigue"
06 Menit 54 Detik,06 Minute 54 Second
Low voltage at precordial leads,Low voltage at precordial leads
Tidak tampak kelainan USG kedua payudara.,Normal sonography both breasts.
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Tampak perkabutan kedua paru tengah-bawah terutama samping perifer (subpleura?).","Both sinuses and diaphragma normal.
The heart is of normal size and configuration.
There are cloudy shadows at both middle-low lung fields, especially peripheral zones (subpleura)."
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Tampak perkabutan kedua paru tengah-bawah terutama samping perifer (subpleura?).","Bronchopneumonia, suggestion viral infection (confirmed clinical sign and laboratory results)"
"Tidak membesar, permukaan licin. Echostruktur homogen,tidak meninggi. Tak tampak lesi fokal/ SOL maupun ascites. Traktus billiaris intra dan ekstra hepatic tidak melebar.","The size was normal limits.
There parenchim was normal limits.
Normal biliary tract and portal vein.
There was no SOL or ascites."
Besar dan bentuk serta dinding normal. Tak tampak batu/ sludge/ SOL.,"The size and wall was normal limits.
There was no stone or sludge."
Besar dan struktur parenchim normal.Tak tampak massa/SOL maupun kalsifikasi.,"The structures parenchim was normal limits.
There was no calcification or SOL."
"Tidak membesar, struktur parenchim normal tidak tampak massa/SOL.","The size was normal limits.
The parenchim was normal limits."
"Cortex dan parenchim normal, pyelocalyces normal. Tidak tampak batu/ SOL.Tidak tampak pembesaran kelenjar getah bening para aortal.","The both of kidney was normal limits.
No dilated pelvio-calyces sytems.
There was no stone or SOL."
"Tidak membesar, struktur parenchim normal. Tak tampak massa/ SOL maupun kalsifikasi.","The size and parenchim was normal limits.
There was no SOL or calcification. "
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.",Normal chest X-ray.
rsr' at lead of V1,rsr' at lead of V1
"96% MPR, kelelahan umum",General fatique (96% MPHR)
10 Menit 13 Detik,10 Minute 13 Second
IRBBB (Dalam batas normal),IRBBB (Within normal limit)
"AD : Normal
AS : CHL","AD : Normal limits
AS : Conductive Hearing Loss"
"89 % MPR, Kelelahan Umum",General fatique (89% MPHR)
178 cm / 100 kg,178 cm / 100 kg
07 Menit 11 Detik,07 Minute 11 Second
Perubahan ST-T tak bermakna,No significant ST - T changes
"Tidak membesar, pinggir rata, echostruktur baik, tidak tampak lesi an/hipo/hiper-echoik patologis, tidak tampak tanda pelebaran ductuli biliaris dan v.portal, ascites (-).
","The size was normal limits.
There parenchim was normal limits.
Normal biliary tract and portal vein.
There was no SOL or ascites."
"Bentuk normal, dinding tidak menebal, batu (-), tidak tampak pelebaran CBD.","The size and wall was normal limits.
There was no stone or sludge."
"Echostruktur dan echodensitas baik, tidak tampak kalsifikasi patologis, ductus pancreaticus tidak melebar.","The structures parenchim was normal limits.
There was no calcification or SOL."
"Tidak membesar, v.lienalis tidak melebar.","The size was normal limits.
The parenchim was normal limits."
"Bentuk besar kedua ginjal dalam batas normal, tidak tampak pelebaran sistem pelvio-calyces kanan kiri, batu (-).","The both of kidney was normal limits.
No dilated pelvio-calyces sytems.
There was no stone or SOL."
"Bentuk besar normal, echostruktur baik.","The size and parenchim was normal limits.
There was no SOL or calcification. "
"Terisi baik, dinding tidak menebal, batu/massa (-).","No thickening of. bladder wall.
There was no SOL or calcification."
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinuses and diafragma are normal
The heart is of normal size and configuration
No widening of  the mediastinum 
No pathological lesion  seen in both lung fields"
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.",Within normal limits
"Tidak membesar, struktur parenchim normal tidak tampak massa/SOL.","The size was normal limits
The parenchim was normal limits."
IRBBB pattern at lead of V2,IRBBB pattern at lead of V2
10 Menit 51 Detik,10 Minute 51 Second
"Ukuran 33,1 x 32,4 x 28,0 mm, volume 15,72 ml, kalsifikasi (-), SOL (-).","Size 33,1 x 32,4 x 28,0 mm with volume 15,72 ml, calcification (-), SOL (-)."
"Besar dan dinding normal, tak tampak batu/SOL.","No thickening of. bladder wall.
There was no SOL or calcification ."
"0,104 (shortened)","0,104 (shortened)"
"Abnormal findings
Abnormal ECG, i.e: Lown Ganong Levine syndrome","Abnormal findings
Abnormal ECG, i.e: Lown Ganong Levine syndrome"
"If there is any complaint, consult to Cardiologist","If there is any complaint, consult to Cardiologist"
"86% MPR, kelelahan umum",Fatique at 86% MPR
09 Menit 10 Detik,09 Minute 10 Second
Abnormal (Lown Ganong Levine syndrome),Abnormal (Lown Ganong Levine syndrome)
"Depresi ST > 1,5mm di III, aVF","ST depression > 1,5 mm at III, aVF"
"Tidak membesar, pinggir rata, echostruktur baik, tidak tampak lesi an/hipo/hiper-echoik patologis, tidak tampak tanda pelebaran ductuli biliaris dan v.portal, ascites (-).
","No enlargment, normal echostructure, no pathological lesion detected, no widening of biliary tract and portal vein, no ascites noted."
"Bentuk normal, dinding tidak menebal, batu (-), tidak tampak pelebaran CBD.","No thickening of the gall bladder wall, no stone seen."
"Echostruktur dan echodensitas baik, tidak tampak kalsifikasi patologis, ductus pancreaticus tidak melebar.","Normal echostructure and echodensity, no dilated pancreatic duct."
"Tidak membesar, v.lienalis tidak melebar.","Normal size, no dilated sphlenic vein."
Aorta abdomen tidak melebar.,No dilated abdominal aorta.
"Bentuk besar kedua ginjal dalam batas normal, tidak tampak pelebaran sistem pelvio-calyces kanan kiri, batu (-).","Normal size of both kidneys, no widening of both pelvio-calyceal systems. no stone seen."
"Bentuk besar normal, echostruktur baik. Volume +/- 12 ml (normal 7-15 ml).",The size and parenchim was normal limit. Volume +/- 8 ml (normal 7-15 ml).
"Terisi baik, dinding tidak menebal, batu/massa (-).","No thickening of the bladder wall, no stone or mass seen."
09 Menit 30 Detik,09 Minute 30 Second
Dalam batas nromal,Within normal limit
"Cor : Besar dan bentuk normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya. ","Both sinuses and diafragma are normal
The heart is of normal size and configuration
No widening of  the mediastinum 
No pathological lesion seen in both lung fields"
Radiologis tak tampak kelainan.,Within normal limits
"Tidak membesar, pinggir rata, echostruktur normal, tidak tampak lesi patologis, tidak tampak tanda pelebaran ductuli biliaris dan v.portal.
","No enlargement, smooth edge, normal echostructure, no pathological lesion, no dilated biliary tract and portal vein."
"Bentuk normal, dinding tidak menebal, batu (-).","Normal shape, no thickening of gall bladder wall, no stone seen."
"Echostruktur dan echodensitas normal, ductus pancreaticus tidak melebar.","Normal echostructure-echodensity, no widening pancreatic duct."
"Tidak membesar, v.lienalis tidak melebar.","No enlargment spleen, no dilated splenic vein."
"Bentuk besar kedua ginjal normal, tidak tampak pelebaran sistem pelvio-calyces kanan kiri, batu (-).","Normal size and shape both kidneys, no widening both pelvio-calyceal systems, no stone seen."
"Tidak besar (volume +/- 9 ml, normal 7-15 ml), echostruktur normal.","Normal size and echostructure (volume +/- 9 ml, normal range 7-15 ml)."
"Terisi baik, dinding tidak menebal, batu/massa (-).","No thickening bladder wall, no stone or mass seen."
"Alignment lumbo sacral baik, tidak tampak listhesis, tampak osteofit lumbal anterior-lateral.
Tampak penyempitan ringan discus intervertebralis L4-L5.","Normal lumbo sacral alignment, no listhesis noted.
There are osteophyts formation at lumbal vertebral, anterior an laterally.
Mild narrowing of intervertebralis disk L4-L5."
"Alignment lumbo sacral baik, tidak tampak listhesis, tampak osteofit lumbal anterior-lateral.
Tampak penyempitan ringan discus intervertebralis L4-L5.","Lumbal Spondylosis.
Might be HNP of L4-L5."
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinuses and diafragma are normal
The heart is of normal size and configuration
No widening of  the mediastinum 
No pathological lesion seen in both lung fields
"
Jantung paru tidak ada kelainan.,Within normal limits
"Cor  : Besar dan bentuk Normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya.","Both sinuses and diafragma are normal
The heart is of normal size and configuration
No widening of  the mediastinum 
No pathological lesion seen in both lung fields
"
Sinus arrhythmia,Early repolarization
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinues and diafragma are normal
The heart is of normal size and configuration
No widening of mediastinum
No pathological lesion seen in both lung fields"
"Cor  : Besar dan bentuk Normal
Sinus dan Diafragma : Baik
Pulmo : Tidak tampak tanda-tanda proses spesifik aktif, metastase dan patologi lainnya.","Both sinues and diafragma are normal
The heart is of normal size and configuration
No widening of mediastinum
No pathological lesion seen in both lung fields"
Dalam Batas Normal,Within Normal Limit
Aorta abdomen tidak melebar.,"No dilated abdominal aorta.
"
"Bentuk besar normal, echostruktur baik. (+/- 9,5 ml, normal 7-15 ml).","Normal size and echostrukcture with volume +/- 9,5 ml (normal 7-15 ml).
"
Tidak tampak kelainan USG organ abdomen.,"No pathologic findings of abdominal organ in sonographic examination.
"
"Tidak membesar, pinggir rata, echostruktur agak kasar, corak vaskuler baik, tidak tampak lesi an/hipo/hiper-echoik patologis, tidak tampak tanda pelebaran ductuli biliaris dan v.portal, ascites (-).
","No enlargment, echostructure increase, no pathological lesion detected, no widening of biliary tract and portal vein, no ascites noted."
"Echostruktur dan echodensitas baik, tidak tampak kalsifikasi patologis, ductus pancreaticus tidak melebar.","Normal echostructure and echodensity, no dilated pancreatic duct.
"
"Bentuk besar normal, echostruktur baik. (+/- 7,5 ml, normal  7-15 ml).","Normal size and echostrukcture with volume +/- 7.5 ml (normal 7-15 ml).
"
"Gambaran fatty liver (Grade I).
USG abdominal lain dalam batas normal.","Fatty liver (Grade I).
No pathologic findings of other abdominal organ in sonographic examination."
"88% MPR, Kelelahan Umum",Fatique at 88% MPR
13 Menit 13 Detik,13 Minute 13 Second
Perubahan ST-T tak bermakna,Non specific ST-T changes
07 Menit 05 Detik,07 Minute 05 Second
Sedang ke cukup,Fair and average
"Sinus lancip, diafragma baik.
Cor dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan vaskuler paru baik.","Both sinues and diafragma are normal
The heart is of normal size and configuration
No widening of mediastinum
There is no pathological lesion seen in both lung fields"
Jantung paru tidak ada kelainan.,Normal heart shadow with both  lung fields clear
Tidak melakukan pemeriksaan (Hamil 10 Minggu),Examination not complete (10 weeks pregnant)
"Sinus kanan kiri lancip, tidak tampak tanda efusi pleura, diafragma baik.
Jantung dengan bentuk besar dalam batas normal.
Mediastinum tidak melebar.
Tidak tampak infiltrat kedua paru, corakan bronchovaskuler baik.","Both sinues and diafragma are normal
The heart is of normal size and configuration
No widening of mediastinum
No pathological lesion seen in both lung fields
"
IRBBB pattern at lead of V1-V2,IRBBB pattern at lead of V1-V2
Elevated ST at lead of V2,Elevated ST at lead of V2
"Abnormal findings
Abnormal ECG, i.e: Suspicion of Brugada syndrome","Abnormal findings. Abnormal ECG, i.e: 
Suspicion of Brugada syndrome"
Sinus Rhytm,Sinus Rhythm
"0,138 (widened)","0,138 (widened)"
Within Normal Limit,Within Normal Limit
Within Normal Limit,Within Normal Limit
"Wide S at leads of V1, V6","Wide S at leads of V1, V6"
Secondary ST-T changes at leads of V1-V2,Secondary ST-T changes at leads of V1-V2
Secondary ST-T changes at leads of V1-V2,Secondary ST-T changes at leads of V1-V2
Within Normal Limit,Within Normal Limit
"Abnormal findings
Abnormal ECG, i.e: CRBBB ( Complete Right Bundle Branch Block ) , anteroseptal ischaemic","Abnormal findings
Abnormal ECG, i.e: CRBBB ( Complete Right Bundle Branch Block ) , anteroseptal ischaemic"
Consult to Cardiologist for further evaluation,Consult to Cardiologist for further evaluation
"0,274 (prolonged)","0,274 (prolonged)"
"Abnormal findings
Abnormal ECG, i.e: First degree Av block","Abnormal findings
Abnormal ECG, i.e: First degree AV block"
"88% MPR, kelelahan umum",Fatique at 88% MHR
11 Menit 44 Detik,11 Minute 44 Second
"Bradikardi  ( 54 x/menit ), Overweight ( BMI : 24.97 )
Kelainan Refraksi Tanpa kacamata ( -OD : 6/18 -OS : 6/60 )","Bradycardia ( 54 x/menit ), Overweight ( BMI : 24.97 )
Refraction Abnormalitis Without glasses ( -OD : 6/18 -OS : 6/60 )"
"Bradikardi  ( 54 x/menit ), Overweight ( BMI : 24.97 )
Kelainan Refraksi Tanpa kacamata ( -OD : 6/18 -OS : 6/60 )","Bradycardia ( 54 x/menit ), Overweight ( BMI : 24.97 )
Refraction Abnormalitis Without glasses ( -OD : 6/18 -OS : 6/60 )"
"0,206 (prolonged)","0,206 (prolonged)"
